MACS_PER_CYCLE,FIFO_DEPTH,mic_total_time,seq_total_time,speedup,mic_compute_util,seq_compute_util,mic_bus_transfers,seq_bus_transfers,mic_commands,seq_commands,mic_energy_pJ,seq_energy_pJ,mic_macs,seq_macs,case
1,1,47203220,47203200,1.0000004237000881,0.9998080629655162,0.9998063684854329,140,160,80,20,4720072.0,51923412.0,47185920,47185920,sweep_big_net
1,4,47203220,47203067,1.000003241314807,0.9998080629655162,0.9998063684854329,140,160,80,20,4720072.0,51923279.00000001,47185920,47185920,sweep_big_net
1,8,47203220,47203067,1.000003241314807,0.9998080629655162,0.9998063684854329,140,160,80,20,4720072.0,51923279.00000001,47185920,47185920,sweep_big_net
8,1,5915540,5915520,1.0000033809369253,0.9984683786113976,0.99845487525738,140,160,80,20,4720072.0,10635732.0,47185920,47185920,sweep_big_net
8,4,5915540,5915387,1.0000258647490012,0.9984683786113976,0.99845487525738,140,160,80,20,4720072.0,10635599.0,47185920,47185920,sweep_big_net
8,8,5915540,5915387,1.0000258647490012,0.9984683786113976,0.99845487525738,140,160,80,20,4720072.0,10635599.0,47185920,47185920,sweep_big_net
32,1,1491860,1491840,1.0000134062634063,0.993926066960754,0.9938727626198297,140,160,80,20,4720072.0,6212052.0,47185920,47185920,sweep_big_net
32,4,1491860,1491707,1.0001025670590806,0.993926066960754,0.9938727626198297,140,160,80,20,4720072.0,6211919.0,47185920,47185920,sweep_big_net
32,8,1491860,1491707,1.0001025670590806,0.993926066960754,0.9938727626198297,140,160,80,20,4720072.0,6211919.0,47185920,47185920,sweep_big_net
8,4,7794,2581,3.0197597830298335,0.46955503512880564,0.46736596736596736,21,24,12,3,222.3,2824.3,3,3,calibrated_3.02x
